id,code,chart_template_id:id,name,user_type_id:id,reconcile
id_6-110003,6-110003,l10n_id.l10n_id_chart_template,Tunjangan Kesehatan Karyawan,account.data_account_type_expenses,FALSE
id_6-110004,6-110004,l10n_id.l10n_id_chart_template,Pangan karyawan (catering),account.data_account_type_expenses,FALSE
id_6-110005,6-110005,l10n_id.l10n_id_chart_template,Lembur Karyawan ,account.data_account_type_expenses,FALSE
id_6-110006,6-110006,l10n_id.l10n_id_chart_template,Fee Jasa Keamanan,account.data_account_type_expenses,FALSE
id_6-110007,6-110007,l10n_id.l10n_id_chart_template,Pakaian Kerja,account.data_account_type_expenses,FALSE
id_6-110008,6-110008,l10n_id.l10n_id_chart_template,Tunjangan Ulang Tahun Karyawan,account.data_account_type_expenses,FALSE
id_6-110009,6-110009,l10n_id.l10n_id_chart_template,Tunjangan Melahirkan Karyawan,account.data_account_type_expenses,FALSE
id_6-110010,6-110010,l10n_id.l10n_id_chart_template,Tunjangan PPH Pasal 21,account.data_account_type_expenses,FALSE
id_6-211001,6-211001,l10n_id.l10n_id_chart_template,Free Gift,account.data_account_type_expenses,FALSE
id_6-211002,6-211002,l10n_id.l10n_id_chart_template,Event ,account.data_account_type_expenses,FALSE
id_6-211003,6-211003,l10n_id.l10n_id_chart_template,Advertising,account.data_account_type_expenses,FALSE
id_6-211004,6-211004,l10n_id.l10n_id_chart_template,Pengiriman Barang Dagang,account.data_account_type_expenses,FALSE
id_6-311001,6-311001,l10n_id.l10n_id_chart_template,Air Minum,account.data_account_type_expenses,FALSE
id_6-311002,6-311002,l10n_id.l10n_id_chart_template,Keperluan Olahraga,account.data_account_type_expenses,FALSE
id_6-311003,6-311003,l10n_id.l10n_id_chart_template,Iuran Bulanan,account.data_account_type_expenses,FALSE
id_6-311004,6-311004,l10n_id.l10n_id_chart_template,Sumbangan,account.data_account_type_expenses,FALSE
id_6-311005,6-311005,l10n_id.l10n_id_chart_template,Internet,account.data_account_type_expenses,FALSE
id_6-311006,6-311006,l10n_id.l10n_id_chart_template,Telepon,account.data_account_type_expenses,FALSE
id_6-311007,6-311007,l10n_id.l10n_id_chart_template,Pulsa ,account.data_account_type_expenses,FALSE
id_6-311008,6-311008,l10n_id.l10n_id_chart_template,Listrik,account.data_account_type_expenses,FALSE
id_6-311009,6-311009,l10n_id.l10n_id_chart_template,PDAM,account.data_account_type_expenses,FALSE
id_6-311010,6-311010,l10n_id.l10n_id_chart_template,Research & Development,account.data_account_type_expenses,FALSE
id_6-311011,6-311011,l10n_id.l10n_id_chart_template,Keperluan Dapur,account.data_account_type_expenses,FALSE
id_6-311012,6-311012,l10n_id.l10n_id_chart_template,Perlengkapan Kantor,account.data_account_type_expenses,FALSE
id_6-311013,6-311013,l10n_id.l10n_id_chart_template,P3K,account.data_account_type_expenses,FALSE
id_6-311014,6-311014,l10n_id.l10n_id_chart_template,Keperluan Lain-lain,account.data_account_type_expenses,FALSE
id_6-311015,6-311015,l10n_id.l10n_id_chart_template,K3 (Pemadam Kebakaran),account.data_account_type_expenses,FALSE
id_6-311016,6-311016,l10n_id.l10n_id_chart_template,Perlengkapan Kebersihan,account.data_account_type_expenses,FALSE
id_6-311018,6-311018,l10n_id.l10n_id_chart_template,Keperluan Owner,account.data_account_type_expenses,FALSE
id_6-411001,6-411001,l10n_id.l10n_id_chart_template,Alat Tulis Kantor,account.data_account_type_expenses,FALSE
id_6-411002,6-411002,l10n_id.l10n_id_chart_template,Keperluan Pos,account.data_account_type_expenses,FALSE
id_6-411003,6-411003,l10n_id.l10n_id_chart_template,Jilid & Photocopy,account.data_account_type_expenses,FALSE
id_6-411004,6-411004,l10n_id.l10n_id_chart_template,Iklan Lowongan Kerja,account.data_account_type_expenses,FALSE
id_6-411005,6-411005,l10n_id.l10n_id_chart_template,Materai,account.data_account_type_expenses,FALSE
id_6-511001,6-511001,l10n_id.l10n_id_chart_template,Biaya Perizinan,account.data_account_type_expenses,FALSE
id_6-511002,6-511002,l10n_id.l10n_id_chart_template,Biaya Administrasi Bank,account.data_account_type_expenses,FALSE
id_6-511003,6-511003,l10n_id.l10n_id_chart_template,Biaya Konsultan,account.data_account_type_expenses,FALSE
id_6-511004,6-511004,l10n_id.l10n_id_chart_template,Biaya Sewa,account.data_account_type_expenses,FALSE
id_6-511006,6-511006,l10n_id.l10n_id_chart_template,Biaya Pemeliharaan & Perawatan Gedung,account.data_account_type_expenses,FALSE
id_6-511007,6-511007,l10n_id.l10n_id_chart_template,"Biaya Perawatan Instalasi Listrik, telepon, internet",account.data_account_type_expenses,FALSE
id_6-511008,6-511008,l10n_id.l10n_id_chart_template,Pajak,account.data_account_type_expenses,FALSE
id_6-511009,6-511009,l10n_id.l10n_id_chart_template,Akomodasi Tamu,account.data_account_type_expenses,FALSE
id_6-511010,6-511010,l10n_id.l10n_id_chart_template,Biaya Pemeliharaan & Perawatan Aset,account.data_account_type_expenses,FALSE
id_6-511011,6-511011,l10n_id.l10n_id_chart_template,Biaya Pengiriman Dokumen/Barang,account.data_account_type_expenses,FALSE
id_6-611001,6-611001,l10n_id.l10n_id_chart_template,BBM kendaraan,account.data_account_type_expenses,FALSE
id_6-611002,6-611002,l10n_id.l10n_id_chart_template,Service kendaraan,account.data_account_type_expenses,FALSE
id_6-611003,6-611003,l10n_id.l10n_id_chart_template,Parkir & tol kendaraan,account.data_account_type_expenses,FALSE
id_6-611004,6-611004,l10n_id.l10n_id_chart_template,Pajak Kendaraan,account.data_account_type_expenses,FALSE
id_6-611005,6-611005,l10n_id.l10n_id_chart_template,Asuransi Kendaraan,account.data_account_type_expenses,FALSE
id_6-710001,6-710001,l10n_id.l10n_id_chart_template,Tanah ,account.data_account_type_expenses,FALSE
id_6-710002,6-710002,l10n_id.l10n_id_chart_template,Bangunan Kantor,account.data_account_type_expenses,FALSE
id_6-710003,6-710003,l10n_id.l10n_id_chart_template,Kendaraan,account.data_account_type_expenses,FALSE
id_6-710004,6-710004,l10n_id.l10n_id_chart_template,Perlatan Kantor,account.data_account_type_expenses,FALSE
id_6-710005,6-710005,l10n_id.l10n_id_chart_template,Software,account.data_account_type_expenses,FALSE
id_6-710006,6-710006,l10n_id.l10n_id_chart_template,Furnitur Kantor,account.data_account_type_expenses,FALSE
id_6-900000,6-900000,l10n_id.l10n_id_chart_template,Biaya Lain-lain,account.data_account_type_expenses,FALSE
id_8-110001,8-110001,l10n_id.l10n_id_chart_template,Pendapatan Bunga,account.data_account_type_other_income,FALSE
id_8-110002,8-110002,l10n_id.l10n_id_chart_template,Pendapatan Deposit,account.data_account_type_other_income,FALSE
id_8-110009,8-110009,l10n_id.l10n_id_chart_template,Keuntungan Atas Penjualan Aktiva Tetap,account.data_account_type_other_income,FALSE
id_9-110001,9-110001,l10n_id.l10n_id_chart_template,Beban Bunga,l10n_id.data_account_type_other_expense,FALSE
id_9-110002,9-110002,l10n_id.l10n_id_chart_template,Beban Administrasi Bank,l10n_id.data_account_type_other_expense,FALSE
id_9-110009,9-110009,l10n_id.l10n_id_chart_template,Kerugian Atas Penjualan Aktiva Tetap,l10n_id.data_account_type_other_expense,FALSE
