id,chart_template_id:id,code,name,user_type_id:id,reconcile
id_61195,l10n_id.l10n_id_chart_template,61195,Tunjangan PPH Pasal 21,account.data_account_type_expenses,FALSE
id_62100,l10n_id.l10n_id_chart_template,62100,Free Gift,account.data_account_type_expenses,FALSE
id_62200,l10n_id.l10n_id_chart_template,62200,Event ,account.data_account_type_expenses,FALSE
id_62300,l10n_id.l10n_id_chart_template,62300,Advertising,account.data_account_type_expenses,FALSE
id_62400,l10n_id.l10n_id_chart_template,62400,Pengiriman Barang Dagang,account.data_account_type_expenses,FALSE
id_63110,l10n_id.l10n_id_chart_template,63110,Air Minum,account.data_account_type_expenses,FALSE
id_63120,l10n_id.l10n_id_chart_template,63120,Keperluan Olahraga,account.data_account_type_expenses,FALSE
id_63130,l10n_id.l10n_id_chart_template,63130,Iuran Bulanan,account.data_account_type_expenses,FALSE
id_63140,l10n_id.l10n_id_chart_template,63140,Sumbangan,account.data_account_type_expenses,FALSE
id_63150,l10n_id.l10n_id_chart_template,63150,Internet,account.data_account_type_expenses,FALSE
id_63160,l10n_id.l10n_id_chart_template,63160,Telepon,account.data_account_type_expenses,FALSE
id_63170,l10n_id.l10n_id_chart_template,63170,Pulsa ,account.data_account_type_expenses,FALSE
id_63180,l10n_id.l10n_id_chart_template,63180,Listrik,account.data_account_type_expenses,FALSE
id_63190,l10n_id.l10n_id_chart_template,63190,PDAM,account.data_account_type_expenses,FALSE
id_63200,l10n_id.l10n_id_chart_template,63200,Research & Development,account.data_account_type_expenses,FALSE
id_63210,l10n_id.l10n_id_chart_template,63210,Keperluan Dapur,account.data_account_type_expenses,FALSE
id_63220,l10n_id.l10n_id_chart_template,63220,Perlengkapan Kantor,account.data_account_type_expenses,FALSE
id_63230,l10n_id.l10n_id_chart_template,63230,P3K,account.data_account_type_expenses,FALSE
id_63240,l10n_id.l10n_id_chart_template,63240,Keperluan Lain-lain,account.data_account_type_expenses,FALSE
id_63250,l10n_id.l10n_id_chart_template,63250,K3 (Pemadam Kebakaran),account.data_account_type_expenses,FALSE
id_63260,l10n_id.l10n_id_chart_template,63260,Perlengkapan Kebersihan,account.data_account_type_expenses,FALSE
id_63270,l10n_id.l10n_id_chart_template,63270,Keperluan Owner,account.data_account_type_expenses,FALSE
id_64100,l10n_id.l10n_id_chart_template,64100,Alat Tulis Kantor,account.data_account_type_expenses,FALSE
id_64200,l10n_id.l10n_id_chart_template,64200,Keperluan Pos,account.data_account_type_expenses,FALSE
id_64300,l10n_id.l10n_id_chart_template,64300,Jilid & Photocopy,account.data_account_type_expenses,FALSE
id_64400,l10n_id.l10n_id_chart_template,64400,Iklan Lowongan Kerja,account.data_account_type_expenses,FALSE
id_64500,l10n_id.l10n_id_chart_template,64500,Materai,account.data_account_type_expenses,FALSE
id_65010,l10n_id.l10n_id_chart_template,65010,Biaya Perizinan,account.data_account_type_expenses,FALSE
id_65020,l10n_id.l10n_id_chart_template,65020,Biaya Administrasi Bank,account.data_account_type_expenses,FALSE
id_65030,l10n_id.l10n_id_chart_template,65030,Biaya Konsultan,account.data_account_type_expenses,FALSE
id_65040,l10n_id.l10n_id_chart_template,65040,Biaya Sewa,account.data_account_type_expenses,FALSE
id_65050,l10n_id.l10n_id_chart_template,65050,Biaya Pemeliharaan & Perawatan Gedung,account.data_account_type_expenses,FALSE
id_65060,l10n_id.l10n_id_chart_template,65060,"Biaya Perawatan Instalasi Listrik, telepon, internet",account.data_account_type_expenses,FALSE
id_65070,l10n_id.l10n_id_chart_template,65070,Pajak,account.data_account_type_expenses,FALSE
id_65080,l10n_id.l10n_id_chart_template,65080,Akomodasi Tamu,account.data_account_type_expenses,FALSE
id_65090,l10n_id.l10n_id_chart_template,65090,Biaya Pemeliharaan & Perawatan Aset,account.data_account_type_expenses,FALSE
id_65110,l10n_id.l10n_id_chart_template,65110,Biaya Pengiriman Dokumen/Barang,account.data_account_type_expenses,FALSE
id_66100,l10n_id.l10n_id_chart_template,66100,BBM kendaraan,account.data_account_type_expenses,FALSE
id_66200,l10n_id.l10n_id_chart_template,66200,Service kendaraan,account.data_account_type_expenses,FALSE
id_66300,l10n_id.l10n_id_chart_template,66300,Parkir & tol kendaraan,account.data_account_type_expenses,FALSE
id_66400,l10n_id.l10n_id_chart_template,66400,Pajak Kendaraan,account.data_account_type_expenses,FALSE
id_66500,l10n_id.l10n_id_chart_template,66500,Asuransi Kendaraan,account.data_account_type_expenses,FALSE
id_67110,l10n_id.l10n_id_chart_template,67110,Beban Penyusutan Tanah ,account.data_account_type_expenses,FALSE
id_67120,l10n_id.l10n_id_chart_template,67120,Beban Penyusutan Bangunan Kantor,account.data_account_type_expenses,FALSE
id_67130,l10n_id.l10n_id_chart_template,67130,Beban Penyusutan Kendaraan,account.data_account_type_expenses,FALSE
id_67140,l10n_id.l10n_id_chart_template,67140,Beban Penyusutan Perlatan Kantor,account.data_account_type_expenses,FALSE
id_67150,l10n_id.l10n_id_chart_template,67150,Beban Penyusutan Software,account.data_account_type_expenses,FALSE
id_67160,l10n_id.l10n_id_chart_template,67160,Beban Penyusutan Furnitur Kantor,account.data_account_type_expenses,FALSE
id_67170,l10n_id.l10n_id_chart_template,67170,Beban Penyusutan Lain,account.data_account_type_expenses,FALSE
id_81000,l10n_id.l10n_id_chart_template,81000,Pendapatan Lain - lain,account.data_account_type_other_income,FALSE
id_91000,l10n_id.l10n_id_chart_template,91000,Beban Lain - lain,account.data_account_type_expenses,FALSE
id_92000,l10n_id.l10n_id_chart_template,92000,Beban Bunga,account.data_account_type_expenses,FALSE
id_93000,l10n_id.l10n_id_chart_template,93000,Selisih Mata Uang Asing,account.data_account_type_expenses,FALSE
